Table 2: Name, Age, Height, Weight and Sex from 7 people

Name    Age   Height  Weight   Sex
Alex	 25      177      57     F @Boss
Lilly 	 31      163      69	 F @Secretary
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
Alex	 25      177      57     F
Lilly 	 31      163      69	 F
Mark	 23      190      83     M
Oliver	 52      179      75	 M
Martha   76      163      70     F
Lucas	 49      183      83     M
Caroline 26      164      53     F
